K	Kilo- (metric 1000)
VD	Venereal Disease (see also STD)
VDFM	Virtual Disk File Manager
VDI	Virtual Device Interface
VDM	Vienna Development Method
VDM	Virtual Device Metafile
VDT	Video Display Terminal
VEEGA	Venus-Earth-Earth Gravity Assist (Galileo flight path) [Space]
VF	Video Frequency
VF	Voice Frequency
VFO	Variable Frequency Oscillator
VFR	Visual Flight Rules [Aviation]
VFW	Veterans of Foreign Wars
VFW	Volunteer Fire Department
VG	Very Good
VG	Vicar-General
VGA	Video Graphics Array
Vgg	Voltage (Gate to Ground?)
V&H	Vertical and Horizontal (CO coordinate tape) [Telephony]
VHDL	Vhsic Hardware Description Language
VHF	Very High Frequency (30-300MHz)
VHS	Video Home System (VCR)
VHSIC	Very High Speed Integrated Circuit
VI	VIsual editor
VIABLE	Vertical Installation Automation BaseLinE
VILE	VI Like Emacs
VINE	Vine Is Not Emacs
VIP	Very Important Person
VISTA	Volunteers In Service To America
VITA	Vme International Trade Association
VJ	Video Jockey
VL	Vulgar Latin
VLA	Very Large Array [Space]
VLBA	Very Long Baseline Array [Space]
VLBI	Very Long Baseline Interferometry [Space]
VLF	Very Low Frequency (3-30KHz)
VLIW	Very Long Instruction Word
VLSI	Very Large Scale Integration
VLT	Very Large Telescope [Space]
VM	Virtual Memory
VM/CMS	Virtual Machine/Conversational Monitor System
VMM	Virtual Memory Manager
VMOS	Vertical Metal Oxide Semiconductor (V-MOS) (see MOS)
VMR	Vertical Market Reseller
VMS	Vertical Motion Simulator [Space]
VMS	Virtual Memory System [DEC]
VOA	Voice Of America
VOIR	Venus Orbiting Imaging Radar (superseded by VRM) [Space]
VOIS	Voice-Operated Information System
VOQ	Visiting Officer's Quarters
VPI&SU	Virginia Polytechnic Institute and State University
VRC	Vertical Redundancy Character
VRM	Venus Radar Mapper (now called Magellan) [Space]
VRM	Virtual Resource Manager
VSAT	Very Small Aperture Terminal (satellite dish)
VSX	X/open Verification Suite
VTAM	Virtual Telecommunications Access Method [IBM]
VTOC	Volume Table Of Contents
VTOL	Vertical TakeOff and Landing
VTR	VideoTape Recorder
VUP	Vax Unit of Performance
V&V	Villains & Vigilantes
VVSS	Vertical Volute Spring Suspension
W	West
W	Width
WA	Washington
WA	Western Australia
WAC	Womens Air Corps
WAIS	Wide Area Information Server
WARC	World Administrative Conference
WATS	Wide Area Telephone Service
WB	Water Ballast
WB	WayBill
WBC	White Blood Cells
WC	Water Closet
WC	Without Charge
WCTU	Women's Christian Temperance Union
WD	White Dwarf [Space]
w.d.	will dated [Genealogy]
WECo	Western Electric Company [AT&T] (manufacturing arm of AT&T)
WFPC	Wide Field / Planetary Camera (on HST) [Space]
WFPCII	Replacement for WFPC [Space]
WG	Working Group
WH	WarHammer
WHBL	World Home Bible League
WHCA	White House Communications Agency [US Government]
WHO	World Health Organization
WI	Wisconsin
WIMP	Windows/Icons/Mouse Programming(?)
WIPP	(nuclear) Waste Isolation Pilot Plant [DOE]
WIS	WWMCCS Information System
WITS	Washington Interagency Telecommunications System
WIYN	Wisconsin / Indiana / Yale / NOAO telescope [Space]
WMSCR	Weather Message Switching Center Replacement
WOM	Write Only Memory
WOP	WithOut Papers [Immigration]
WOPR	War Operations Planned Response (from "Wargames" movie)
WORM	Write Once, Read Many times
WOW	Worlds of Wonder
w.p.	will proved [Genealogy]
WP	Word Processing
WP	Working Paper
WPI	Worcester Polytechnic Institute
WSI	Wafer Scale Integration
WSMR	White Sands Missile Range [Space]
WSW	West-SouthWest
WTR	Western Test Range [Space]
WU	Washington University
WU	Western Union
WUPPE	Wisconsin Ultraviolet PhotoPolarimter Experiment (Astro package) [Space]
WV	West Virginia
WW	World War
WWI	World War I
WWII	World War II
WWMCCS	World-Wide Military Command and Control System
WY	Wyoming
WYSIWIS What You See Is What I See
WYSIWYG What You See Is What You Get
XCF	eXperimental Computing Facility
XD	without Dividend
XDR	eXternal Data Representation
XFER	Transfer
XINU	XINU Is Not UNIX
XL	eXtra Large
XMM	X-ray Multi Mirror [Space]
XMTR	transMiTteR (the X is for trans)
XNS	Xerox Network Services
XO	eXecutive Officer
XOR	eXclusive OR (logical function)
XPORT	Transport
XSECT	cross SECTion
XTAL	crysTAL (another version of x for crys, see XMTR)
XUI	X-windows User Interface
XUV	eXtreme UltraViolet [Space]
YA	Yet Another
YACC	Yet Another Compiler Compiler
YB	YearBook
YMCA	Young Mens Christian Association
YMHA	Young Mens Hebrew Association
YOB	Year Of Birth
YP	Yellow Pages
YRS	Ysgarth Rules System
YSO	Young Stellar Object [Space]
YST	Yukon Standard Time
YT	Yukon Territory
YT	Yukon Time
YTD	Year To Date
YWCA	Young Womens Christian Association
YWHA	Young Womens Hebrew Association
Z	Zenith
Z	Zero
Z	Zulu (time)
ZB	Zero Beat
ZETA	Zero Energy Thermonuclear Assembly
ZGS	Zero Gradient Synchrotron
ZI	Zonal Index
ZIF	Zero Insertion Force (connector/socket)
ZIP	Zone Improvement Plan (US post office code)
ZK	barrage balloon (navy symbol)
ZMRI	Zinc Metals Research Institute
ZPG	Zero Population Growth
ZPRSN	Zurich Provisional Relative Sunspot Number
ZST	Zone Standard Time
ZT	Zone Time
ZWEI	Zwei Was Eine Initially
